id,BidPrice,AcceptedBid,ExpectedRevenue,ExpectedConversion
59014506,,0,-42.88,0.812
59014545,,0,-93.36,0.445
59014567,,0,-123.84,0.248
59014602,,0,-20.96,0.233
59014617,,0,-108.08,0.197
59014613,35,0,151.52,0.339
59014619,75,1,548.38,0.292
59014697,,0,-105.6,0.263
59014879,,0,-78.08,0.255
59014888,75,1,656.62,0.44
59014928,,0,-8.72,0.45
59014956,35,1,222.88,0.316
59015127,35,0,218.56,0.588
59015160,,0,12.4,0.251
59015180,,0,38.08,0.21
59015179,35,0,431.36,0.214
59015199,35,0,257.52,0.3
59015244,75,1,579.92,0.593
59015256,,0,15.52,0.254
59015267,,0,68.32,0.261
59015358,,0,-74.48,0.322
59015609,,0,-18.48,0.459
59015778,35,1,242.56,0.463
59015850,,0,23.2,0.214
59015922,,0,-93.04,0.455
59016016,75,1,493.69,0.639
59016134,,0,-6,0.226
59016207,,0,106,0.272
59016310,35,0,357.73,0.256
59016305,35,0,348.78,0.263
59016318,,0,58.64,0.088
59016354,35,1,148.48,0.512
59016436,35,0,362.28,0.219
59016484,75,1,700.63,0.155
59016481,50,1,474.43,0.206
59016518,35,1,234.64,0.23
59016535,,0,-47.04,0.677
59016679,,0,13.76,0.374
59016766,35,1,202.08,0.241
59016789,35,1,205.84,0.193
59016916,,0,-37.12,0.179
59016901,35,1,80.08,0.548
59016969,35,1,305.02,0.607
59017055,,0,-4.88,0.449
59017083,,0,-37.52,0.384
59017133,,0,34.4,0.279
59017182,,0,24.96,0.351
59017209,,0,-65.44,0.403
59017236,75,1,378.89,0.384
59017293,35,1,236.96,0.27
59017387,,0,-105.36,0.235
59017405,,0,29.12,0.278
59017411,35,0,484.03,0.103
59017503,35,1,233.6,0.545
59017580,,0,-18.96,0.381
59017592,,0,25.36,0.25
59017622,,0,-92.32,0.17
59017751,,0,-30.4,0.181
59017776,35,1,180.8,0.339
59017816,,0,9.76,0.247
59017863,35,1,243.84,0.265
59017900,,0,-27.76,0.276
59017925,35,0,289.61,0.274
59018083,,0,-90.96,0.445
59018089,,0,144.8,0.207
59018239,,0,177.2,0.157
59018304,,0,19.92,0.217
59018341,,0,-78.96,0.32
59018441,,0,58.32,0.264
59018449,,0,51.36,0.426
59018464,35,1,128.48,0.283
59018523,,0,-17.6,0.307
59018542,,0,-62.56,0.417
59018555,,0,-108,0.31
59018642,,0,29.28,0.31
59018715,,0,-41.6,0.318
59018720,35,1,306.96,0.353
59018790,35,1,275.57,0.264
59018840,,0,-118.32,0.443
59018874,,0,72.4,0.307
59018890,,0,-8.88,0.395
59018894,50,1,456.97,0.238
59018916,35,1,375.51,0.273
59018967,,0,-54.24,0.236
59019044,75,1,486.22,0.336
59019094,35,1,148.16,0.289
59019096,35,1,102.16,0.389
59019386,,0,-70.8,0.47
59019417,,0,-54.96,0.658
59019427,,0,-22.24,0.219
59019514,,0,-7.04,0.275
59019597,35,0,329.04,0.27
59019601,75,1,314.38,0.533
59019624,35,1,228.4,0.259
59019720,,0,-118.32,0.317
59019780,,0,-54.64,0.246
59019757,35,1,101.28,0.774
59019841,,0,-88.96,0.308
59019864,35,1,53.36,0.556
59019905,,0,-10.16,0.301
59019903,75,1,637.76,0.25
59020022,,0,140.56,0.192
59020126,,0,83.2,0.162
59020154,35,1,293.86,0.331
59020200,35,1,234.24,0.235
59020274,35,1,344.76,0.286
59020349,,0,-75.76,0.197
59020409,,0,-41.12,0.547
59020464,35,1,242.8,0.389
59020499,,0,-3.2,0.27
59020577,,0,6.72,0.325
59020672,,0,-93.52,0.389
59020664,75,1,444.21,0.312
59020707,35,0,89.92,0.639
59020824,,0,20,0.358
59020888,75,1,521.16,0.462
59020918,,0,65.52,0.407
59020945,,0,-77.44,0.446
59020964,,0,-15.12,0.245
59021036,35,0,240.4,0.547
59021110,,0,116.72,0.245
59021135,,0,-1.2,0.25
59021125,35,1,192.96,0.277
59021197,,0,58.8,0.252
59021202,,0,-118,0.313
59021254,,0,-106.4,0.236
59021246,75,1,598.84,0.408
59021276,50,1,385.91,0.313
59021450,,0,7.6,0.231
59021509,35,1,156.32,0.39
59021515,35,1,251.44,0.384
59021520,75,1,820,0.371
59021595,,0,-34.24,0.543
59021633,,0,-125.6,0.343
59021638,35,1,329.12,0.362
59021651,35,1,229.12,0.253
59021670,,0,21.76,0.276
59021698,,0,44.88,0.345
59021753,,0,-118.96,0.255
59021820,,0,115.2,0.258
59021875,35,1,163.04,0.45
59021894,,0,11.12,0.252
59021935,75,1,443.81,0.313
59022172,35,1,124,0.393
59022432,,0,-9.84,0.236
59022465,75,1,563.74,0.226
59022549,,0,49.12,0.32
59022659,35,1,74.88,0.706
59022738,,0,118.72,0.279
59022967,35,1,134.48,0.261
59022988,75,1,429.6,0.499
59023050,35,1,111.12,0.55
59023167,,0,-53.28,0.273
59023248,35,1,137.04,0.388
59023337,35,1,133.68,0.688
59023406,35,1,122.64,0.511
59023441,35,1,334.41,0.185
59023472,75,1,479.31,0.41
59023571,,0,97.28,0.266
59023656,,0,13.52,0.379
59023680,35,1,141.52,0.506
59023731,,0,1.6,0.225
59023749,,0,-102.08,0.383
59023768,,0,-37.12,0.375
59023806,50,0,564.99,0.096
59023817,35,1,232.48,0.423
59023947,35,1,389.61,0.257
59024014,,0,-20.8,0.37
59024025,35,0,165.76,0.266
59024034,,0,94.16,0.305
59024084,,0,85.28,0.277
59024138,,0,-32.16,0.426
59024211,35,1,67.44,0.535
59024254,,0,1.84,0.724
59024255,75,1,371.46,0.48
59024280,35,1,244,0.416
59024345,,0,26.72,0.381
59024429,,0,-0.64,0.434
59024456,35,1,361.25,0.209
59024518,35,1,81.6,0.597
59024522,3,0,268.2,0.12
59024545,35,1,323.95,0.331
59024735,,0,-41.04,0.291
59024752,,0,-58.72,0.176
59024937,35,0,266.11,0.141
59025016,,0,-58.08,0.197
59025059,,0,9.36,0.205
59025202,3,0,337.95,0.196
59025279,,0,35.04,0.289
59025415,,0,74.08,0.276
59025614,,0,25.04,0.285
59025728,,0,-120.08,0.139
59025762,35,0,252.64,0.48
59025828,,0,-84.96,0.498
59025918,,0,71.52,0.323
59025939,,0,-30.16,0.592
59026322,35,1,307.82,0.206
59026360,75,1,797.18,0.497
59026432,,0,-86.08,0.381
59026542,,0,-56.88,0.443
59026624,35,0,192.4,0.523
59026631,,0,-55.6,0.133
59026774,,0,4.48,0.323
59026824,,0,-35.28,0.321
59026876,35,1,231.76,0.389
59026902,,0,-45.76,0.505
59026955,75,1,420.9,0.323
59027070,,0,69.6,0.35
59027074,,0,-74.96,0.719
59027086,,0,115.52,0.187
59027106,,0,-122.64,0.374
59027156,,0,-62,0.535
59027202,,0,201.92,0.171
59027222,,0,-128,0.297
59027234,,0,32.88,0.331
59027279,,0,-42.56,0.457
59027267,35,0,370.44,0.254
59027265,75,1,702.94,0.387
59027435,,0,-45.2,0.326
59027487,,0,4.08,0.28
59027548,,0,-121.28,0.557
59027577,,0,5.04,0.225
59027595,,0,120.48,0.256
59027694,,0,25.68,0.424
59027715,,0,154.48,0.256
59027755,75,1,703.08,0.258
59027850,,0,67.52,0.195
59027888,,0,25.44,0.141
59027923,35,1,243.36,0.341
59027966,,0,-97.28,0.272
59028092,,0,-33.92,0.39
59028230,,0,78.72,0.247
59028241,,0,82.64,0.279
59028257,35,1,160.56,0.346
59028293,50,1,408.15,0.279
59028323,35,1,396.05,0.199
59028357,,0,29.12,0.348
59028349,35,1,364.69,0.289
59028578,,0,21.52,0.215
59028569,35,1,264.16,0.299
59028603,,0,93.2,0.09
59028676,,0,-120.32,0.365
59028692,35,1,295.11,0.473
59028734,35,0,358.17,0.277
59028773,35,1,149.44,0.29
59028783,35,1,128.64,0.298
59028892,,0,92.72,0.335
59028942,35,1,233.68,0.228
59028949,3,0,203.84,0.172
59028959,35,1,182.24,0.423
59028992,,0,4.24,0.448
59028977,50,1,365.06,0.37
59029012,,0,-127.84,0.312
59029038,35,1,300.43,0.261
59029042,35,1,244.4,0.337
59029234,35,0,265.04,0.326
59029296,,0,24.72,0.226
59029386,35,0,243.76,0.3
59029407,,0,-84.16,0.425
59029425,75,1,464.3,0.596
59029469,35,1,81.36,0.602
59029605,35,1,181.52,0.455
59029684,,0,159.92,0.206
59029675,75,1,404.74,0.402
59029874,35,0,78.48,0.421
59029896,,0,86.4,0.341
59029919,35,0,307.58,0.377
59029953,,0,38.8,0.163
59029985,75,1,787.88,0.14
59030084,35,0,387.62,0.216
59030155,,0,57.28,0.444
59030161,35,0,299.18,0.357
59030254,75,1,676.64,0.28
59030309,35,1,144,0.381
59030324,,0,16,0.358
59030553,,0,-108.48,0.361
59030558,,0,20.8,0.603
59030649,,0,-130.64,0.48
59030719,75,1,619.81,0.289
59030752,,0,20.64,0.377
59030804,,0,12.4,0.281
59030860,,0,-69.52,0.216
59030884,,0,-98.8,0.374
59030877,,0,196.8,0.238
59030919,,0,-97.68,0.493
59030946,35,0,321.05,0.116
59030972,,0,-62.88,0.252
59030988,35,1,307.12,0.374
59031003,35,0,266.96,0.447
59031098,75,1,620.54,0.287
59031125,35,1,223.76,0.301
59031281,35,1,162.56,0.35
59031436,35,1,94.88,0.366
59031453,75,1,733.48,0.337
59031520,,0,40.4,0.305
59031516,35,1,318.06,0.394
59031647,,0,-65.92,0.307
59031674,,0,70.16,0.421
59031775,35,0,74.56,0.469
59031786,,0,-62.48,0.374
59031823,,0,-39.76,0.262
59031887,,0,-119.36,0.385
59031922,,0,-82.96,0.355
59032059,35,0,190.88,0.55
59032085,,0,-12.08,0.282
59032119,,0,-72.48,0.413
59032161,,0,34.96,0.67
59032314,,0,44.64,0.485
59032533,75,1,567.45,0.392
59032736,,0,51.92,0.215
59032745,75,1,417.95,0.364
59032754,,0,-48.32,0.424
59032765,,0,13.92,0.571
59032763,75,1,536.35,0.339
59032821,35,1,127.6,0.44
59032852,,0,12.72,0.129
59033077,35,1,322.12,0.197
59033096,,0,23.84,0.455
59033110,,0,29.52,0.333
59033138,,0,-51.44,0.405
59033140,75,1,463.07,0.435
59033158,,0,21.2,0.67
59033178,35,1,119.92,0.548
59033226,,0,59.52,0.467
59033253,75,1,501.8,0.318
59033308,,0,-85.12,0.448
59033328,,0,15.36,0.237
59033376,75,1,457.1,0.28
59033377,35,0,242.48,0.371
59033410,,0,31.44,0.572
59033460,,0,117.84,0.6
59033474,35,1,93.44,0.456
59033530,,0,-131.2,0.26
59033601,,0,84.56,0.183
59033603,35,1,178.56,0.381
59033616,75,1,489.84,0.231
59033617,35,1,111.12,0.447
59033719,35,1,126.16,0.321
59033717,35,1,221.28,0.61
59033952,75,1,583.98,0.272
59033959,35,0,306.03,0.189
59033969,35,0,223.36,0.777
59033970,75,1,374.86,0.482
59033992,,0,-119.04,0.42
59034010,,0,76.64,0.268
59034018,,0,145.36,0.313
59034025,35,1,86.8,0.445
59034029,35,1,66.08,0.578
59034035,75,1,657.8,0.308
59034060,75,1,616.21,0.336
59034127,,0,117.2,0.249
59034235,35,1,189.2,0.253
59034294,,0,102.4,0.306
59034313,35,1,357.21,0.204
59034343,75,1,505.45,0.318
59034365,,0,7.28,0.345
59034384,,0,157.92,0.281
59034409,,0,-113.04,0.387
59034419,75,1,577.84,0.366
59034462,,0,-99.92,0.44
59034463,,0,-4.32,0.357
59034507,,0,-96.88,0.412
59034511,35,1,212.16,0.361
59034554,35,1,271.65,0.299
59034626,,0,-87.12,0.196
59034707,35,1,369.06,0.281
59034796,,0,-109.52,0.387
59034837,,0,52.8,0.254
59034883,,0,-54.32,0.413
59034924,35,0,410.3,0.15
59034965,,0,-122.4,0.319
59034981,,0,48.48,0.397
59034995,,0,46.16,0.27
59034985,75,1,413.48,0.36
59035076,,0,-125.28,0.504
59035077,,0,-21.92,0.418
59035138,35,1,343.49,0.36
59035224,,0,126,0.212
59035222,35,1,268.44,0.233
59035238,75,1,515.81,0.404
59035287,,0,-98,0.375
59035306,35,0,176.24,0.443
59035389,35,1,267.44,0.287
59035409,,0,-59.44,0.212
59035446,35,0,306.34,0.416
59035488,,0,-129.2,0.374
59035546,,0,55.44,0.382
59035584,75,1,526.93,0.352
59035673,,0,-38.8,0.231
59035717,35,1,107.92,0.313
59035869,,0,59.36,0.284
59035884,35,0,164.24,0.222
59035987,,0,-25.36,0.227
59035986,,0,18.56,0.524
59036208,,0,75.04,0.403
59036244,35,1,107.44,0.434
59036272,,0,-40.48,0.393
59036378,35,0,314.38,0.204
59036411,35,1,247.12,0.396
59036413,,0,-45.76,0.349
59036441,,0,54.72,0.328
59036504,35,1,200.96,0.393
59036566,,0,-66.24,0.313
59036615,,0,33.92,0.312
59036618,35,0,426.96,0.184
59036695,75,1,669.16,0.641
59036707,35,1,202.08,0.45
59036723,,0,63.2,0.357
59036797,75,1,653.37,0.218
59036870,35,1,239.28,0.332
59036926,,0,-120.96,0.306
59036973,,0,146,0.248
59037011,,0,-102.32,0.229
59037216,,0,48,0.24
59037251,,0,-113.44,0.327
59037475,,0,82.56,0.334
59037494,,0,-17.76,0.221
59037587,,0,-56.08,0.339
59037608,,0,-32.24,0.634
59037656,,0,73.44,0.39
59037673,,0,10.96,0.356
59037720,,0,-98.16,0.298
59037768,75,1,559.66,0.314
59037777,35,1,188.4,0.277
59037835,,0,-75.68,0.453
59037864,,0,-1.84,0.24
59037876,,0,-52,0.477
59037904,,0,13.76,0.274
59037890,35,0,216.72,0.182
59037956,,0,123.68,0.147
59038037,,0,38.48,0.307
59038044,,0,-15.84,0.514
59038185,,0,56,0.264
59038192,75,1,496.46,0.386
59038221,35,1,126.48,0.391
59038237,75,1,612.48,0.257
59038275,,0,77.28,0.303
59038290,,0,-59.6,0.266
59038299,75,1,546.29,0.276
59038311,75,1,483.53,0.369
59038437,,0,-130.64,0.396
59038477,,0,64.96,0.351
59038489,75,1,491.02,0.325
59038608,75,1,567.94,0.277
59038639,,0,-36,0.248
59038695,,0,-34.88,0.565
59038767,75,1,431.97,0.351
59038795,,0,-57.68,0.45
59038890,,0,191.84,0.406
59038941,,0,55.36,0.313
59039003,,0,195.44,0.273
59039022,,0,16.4,0.213
59039033,,0,-9.2,0.389
59039109,,0,28.72,0.24
59039123,,0,-54.88,0.23
59039359,35,0,150.32,0.347
59039416,,0,-88.72,0.224
59039447,,0,9.68,0.339
59039478,,0,91.52,0.295
59039683,35,0,248.4,0.238
59039742,,0,53.92,0.31
59039730,35,1,187.52,0.36
59039781,,0,-115.28,0.301
59039799,,0,26.56,0.244
59039820,,0,-64.64,0.286
59039841,,0,11.04,0.407
59039840,35,0,355.74,0.219
59039880,35,1,280.03,0.304
59039908,,0,39.84,0.325
59039950,,0,-89.12,0.295
59039959,75,1,399.49,0.333
59040012,35,1,107.28,0.464
59040050,75,1,338.25,0.47
59040164,,0,114.48,0.341
59040211,,0,-24.8,0.269
59040226,,0,49.36,0.342
59040470,,0,30,0.28
59040541,35,1,79.6,0.478
59040639,,0,-0.48,0.49
59040696,,0,124.48,0.239
59040722,35,1,348.56,0.322
59040915,,0,-7.28,0.316
59040976,35,1,196.24,0.313
59041240,,0,50,0.455
59041257,,0,164.64,0.191
59041286,35,0,120.72,0.473
59041419,,0,-12.8,0.22
59041405,35,1,362.28,0.242
59041463,35,1,151.12,0.356
59041607,,0,-97.68,0.404
59041649,,0,2.32,0.216
59041672,,0,-131.12,0.336
59041733,50,0,482.4,0.189
59041797,35,1,431.83,0.226
59041862,35,1,325.25,0.328
59041900,,0,-39.68,0.438
59041902,35,0,285.35,0.138
59042035,,0,-102.48,0.278
59042100,,0,-33.12,0.633
59042140,,0,111.52,0.22
59042162,35,0,291.58,0.276
59042200,3,1,270.61,0.109
59042241,,0,7.84,0.172
59042254,35,0,323.72,0.302
59042262,35,0,317.3,0.257
59042457,,0,30.4,0.208
59042520,75,1,512.46,0.511
59042754,,0,60.32,0.376
59042764,35,1,165.68,0.317
59042932,,0,29.6,0.428
59043048,75,1,467.01,0.278
59043082,35,1,133.68,0.319
59043165,75,1,445.47,0.349
59043218,,0,-97.44,0.341
59043212,35,1,250.96,0.464
59043297,35,1,324.71,0.222
59043384,,0,-118,0.524
59043406,35,1,236.96,0.401
59043445,35,0,227.36,0.228
59043574,35,1,244.24,0.537
59043601,,0,-3.36,0.283
59043691,35,0,306.34,0.234
59043746,35,0,268.68,0.509
59043759,75,1,696.85,0.566
59043771,75,1,667.22,0.116
59043830,75,1,449.43,0.327
59043854,,0,-11.28,0.586
59043910,35,1,339.38,0.402
59043932,,0,-112,0.298
59043959,,0,17.36,0.271
59043963,,0,-42.72,0.308
59044004,,0,-22.56,0.271
59044023,,0,81.44,0.329
59044074,,0,95.84,0.308
59044064,35,0,318.45,0.249
59044105,,0,83.28,0.196
59044239,,0,-99.92,0.643
59044320,,0,-74.64,0.237
59044335,,0,-50.48,0.218
59044368,35,1,214.4,0.297
59044431,,0,34,0.296
59044445,35,1,406.9,0.193
59044479,35,1,321.81,0.225
59044533,35,1,265.52,0.54
59044543,,0,59.92,0.294
59044645,75,1,520.03,0.319
59044722,,0,58.08,0.229
59044735,35,1,266.19,0.184
59044778,35,1,105.84,0.354
59044844,,0,-126.16,0.287
59044851,,0,-59.52,0.363
59044903,,0,243.44,0.235
59044920,35,0,167.84,0.455
59044940,35,1,110.8,0.447
59044991,,0,-9.28,0.339
59045018,,0,-119.92,0.556
59045066,35,1,212.48,0.172
59045103,,0,-51.84,0.423
59045123,35,0,143.36,0.249
59045253,,0,76.08,0.213
59045303,,0,-60.64,0.198
59045314,35,1,197.84,0.399
59045360,,0,120.24,0.216
59045412,,0,-87.84,0.378
59045441,35,0,260.72,0.268
59045494,,0,83.44,0.296
59045495,,0,-28,0.355
59045572,,0,-1.36,0.172
59045561,35,1,163.6,0.33
59045609,50,1,446.53,0.221
59045691,35,1,212.4,0.218
59045751,,0,-114.72,0.269
59045746,35,1,124.16,0.456
59045773,35,1,347.74,0.188
